age_brackets,0_99m,100_199m,200_399m,400_799m,800+m,Total
00_05yrs,1021,2158,4892,5237,770,14078
05_09yrs,944,2087,4648,4953,684,13316
10_14yrs,873,1943,4029,4275,535,11655
15_19yrs,611,1387,2908,2995,378,8279
20_24yrs,450,973,2074,2144,305,5946
25_29yrs,384,841,1898,1994,358,5475
30_34yrs,368,859,1760,1922,263,5172
35_39yrs,312,727,1419,1483,205,4146
40_40yrs,248,544,1175,1173,139,3279
45_49yrs,171,360,773,779,101,2184
50_54yrs,127,234,552,577,67,1557
55_59yrs,51,151,278,295,40,815
60_64yrs,55,149,273,297,32,806
65_69yrs,32,75,147,166,25,445
70_74yrs,22,61,153,137,21,394
75_79yrs,15,31,90,80,13,229
80+yrs,30,46,112,113,9,310
Grand_Total,5714,12626,27181,28620,3945,78086
