t,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,total
2012/07,396,792,189,128,52,99,8,40,46,49,232,271,2302
2012/08,1612,1483,323,113,26,120,3,,105,133,269,117,4304
2012/09,230,331,448,208,38,102,25,42,173,194,159,106,2056
2012/10,244,416,349,276,26,67,50,57,166,213,136,249,2249
2012/11,523,1095,482,243,6,125,32,62,201,383,176,391,3719
2012/12,626,525,500,271,54,214,52,97,262,466,556,522,4145
2013/01,1047,1152,665,846,402,1368,750,577,1157,1960,2895,1408,14227
2013/02,487,337,564,581,657,919,846,510,509,857,1151,663,8081
2013/03,266,400,431,366,457,524,544,413,214,295,565,408,4883
2013/04,329,299,222,411,883,419,744,315,320,484,387,214,5027
2013/05,70,140,206,253,426,301,363,160,378,137,266,188,2888
2013/06,61,16,70,117,166,250,118,105,100,140,147,65,1355
2013/07,59,33,22,22,114,117,186,161,91,75,113,54,1047
2013/08,124,70,35,23,210,84,97,115,78,49,56,29,970
2013/09,46,21,44,63,193,124,235,200,64,80,57,69,1196
2013/10,100,20,64,80,260,212,282,357,75,131,164,91,1836
2013/11,94,116,47,131,209,225,250,285,101,154,236,140,1988
2013/12,86,123,138,130,364,546,706,473,240,208,280,123,3417
2014/01,27,18,33,96,366,461,953,1203,199,177,206,178,3917
2014/02,43,46,44,51,206,307,414,1078,210,78,149,120,2746
2014/03,51,42,42,56,188,221,247,1137,124,126,114,112,2460
2014/04,36,51,70,49,187,134,121,514,30,18,40,54,1304
2014/05,21,16,17,16,84,49,99,70,28,19,7,61,487
2014/06,7,25,29,5,50,52,46,28,10,31,20,12,315
2014/07,18,22,8,20,25,26,33,38,,6,6,8,210
2014/08,16,12,6,5,38,23,15,18,,23,11,6,173
2014/09,20,5,7,8,10,16,5,12,10,10,12,6,121
2014/10,33,8,17,6,14,66,15,24,10,23,42,14,272
2014/11,14,35,1,12,25,37,4,9,7,,43,20,207
2014/12,,17,9,19,25,24,11,64,,3,12,,184
